,student_id,career_path,employment_status,industry,employment_type,starting_salary,remote_work_availability,career_satisfaction_score
0,1,AI,Unemployed,Healthcare,Part-Time,82362,Yes,5
1,2,CyberSecurity,Unemployed,Manufacturing,Part-Time,81616,Yes,8
2,3,Architecture,Unemployed,Finance,Full-Time,79408,No,10
3,4,Architecture,Employed,Technology,Contract,16311,No,6
4,5,UX,Employed,Technology,Full-Time,31037,No,6
5,6,UX,Employed,Manufacturing,Part-Time,27028,Yes,8
6,7,CyberSecurity,Employed,Healthcare,Part-Time,23924,Yes,1
7,8,Architecture,Self-Employed,Education,Full-Time,28928,Yes,4
8,9,CyberSecurity,Self-Employed,Manufacturing,Contract,72170,Yes,10
9,10,Civil Engineering,Unemployed,Technology,Part-Time,10762,Yes,8
10,11,CyberSecurity,Employed,Healthcare,Part-Time,78747,Yes,3
11,12,Philosophy,Employed,Technology,Full-Time,41439,No,8
12,13,Civil Engineering,Employed,Manufacturing,Full-Time,98114,No,2
13,14,UX,Employed,Finance,Contract,51297,No,6
14,15,CyberSecurity,Unemployed,Finance,Full-Time,10533,No,2
15,16,Data Science,Self-Employed,Technology,Contract,91057,Yes,3
16,17,Philosophy,Self-Employed,Education,Contract,41548,No,9
17,18,Civil Engineering,Employed,Manufacturing,Contract,85293,Yes,8
18,19,Data Science,Employed,Manufacturing,Full-Time,45286,Yes,3
19,20,CyberSecurity,Self-Employed,Finance,Full-Time,42300,No,10
20,21,UX,Employed,Finance,Part-Time,39300,No,4
21,22,CyberSecurity,Unemployed,Finance,Full-Time,84978,No,4
22,23,UX,Self-Employed,Education,Contract,35923,Yes,5
23,24,CyberSecurity,Employed,Manufacturing,Full-Time,54302,No,10
24,25,Civil Engineering,Self-Employed,Technology,Part-Time,72070,Yes,9
25,26,AI,Unemployed,Manufacturing,Contract,87000,Yes,6
26,27,AI,Employed,Finance,Full-Time,88655,Yes,6
27,28,Data Science,Self-Employed,Finance,Part-Time,56421,No,7
28,29,Architecture,Self-Employed,Finance,Part-Time,11395,Yes,4
29,30,Data Science,Unemployed,Finance,Full-Time,90096,No,1
30,31,CyberSecurity,Unemployed,Finance,Part-Time,71735,Yes,5
31,32,Data Science,Employed,Manufacturing,Part-Time,71244,No,7
32,33,Architecture,Employed,Education,Part-Time,30224,No,1
33,34,UX,Employed,Manufacturing,Full-Time,37542,No,10
34,35,Civil Engineering,Unemployed,Finance,Contract,67931,No,2
35,36,Architecture,Employed,Technology,Part-Time,28176,Yes,10
36,37,Philosophy,Employed,Technology,Part-Time,81777,Yes,2
37,38,Architecture,Unemployed,Education,Full-Time,59037,Yes,4
38,39,Philosophy,Self-Employed,Manufacturing,Contract,34987,Yes,5
39,40,CyberSecurity,Self-Employed,Healthcare,Full-Time,23262,No,2
40,41,Architecture,Self-Employed,Education,Part-Time,51991,Yes,6
41,42,Civil Engineering,Self-Employed,Finance,Part-Time,72549,No,2
42,43,Philosophy,Employed,Education,Part-Time,14535,Yes,1
43,44,Data Science,Self-Employed,Healthcare,Part-Time,25301,Yes,9
44,45,AI,Unemployed,Manufacturing,Full-Time,75268,No,10
45,46,Civil Engineering,Self-Employed,Technology,Part-Time,47484,Yes,8
46,47,AI,Self-Employed,Healthcare,Full-Time,25319,No,2
47,48,AI,Employed,Education,Part-Time,96424,No,6
48,49,Civil Engineering,Unemployed,Manufacturing,Full-Time,65310,Yes,10
49,50,AI,Employed,Education,Full-Time,67446,No,9
