,student_id,age,gender,socio_economic_score,attendance_rate,average_assignment_score,midterm_exam_score,final_exam_score,study_hours_per_week,lms_logins_per_week,part_time_job_hours,financial_aid,disciplinary_record,graduation_outcome
0,1,11.0,Male,Upper_class,48.47,95,89,15,30,68,12,True,Moderate,On_Time
1,2,4.0,Male,Wealthy,18.49,5,56,82,69,21,13,False,Moderate,Dropout_Risk
2,3,5.0,Male,Wealthy,83.17,94,34,10,23,22,86,False,High,High_Achiever
3,4,3.0,Male,Poor,21.03,30,29,31,33,9,88,True,High,Delayed
4,5,10.0,Female,Upper_class,41.0,8,55,93,84,90,77,True,None,Delayed
5,6,1.0,Male,Upper_class,84.13,100,34,63,41,61,82,True,None,High_Achiever
6,7,1.0,Female,Wealthy,31.78,19,48,74,16,95,25,False,None,On_Time
7,8,4.0,Female,Upper_middle_class,20.43,75,21,46,91,86,87,False,None,Dropout_Risk
8,9,12.0,Female,Upper_middle_class,82.38,46,100,57,87,18,55,True,Moderate,On_Time
9,10,9.0,Male,Wealthy,81.14,66,45,28,21,26,17,True,Moderate,Dropout_Risk
10,11,7.0,Male,Lower_class,95.41,79,67,52,19,13,44,False,Moderate,Delayed
11,12,16.0,Female,Upper_class,89.58,33,90,20,100,85,16,True,None,Delayed
12,13,3.0,Female,Upper_class,81.52,36,38,69,56,73,89,True,None,High_Achiever
13,14,15.0,Female,Upper_class,27.1,62,55,55,27,37,58,True,None,Dropout_Risk
14,15,3.0,Female,Upper_middle_class,44.57,50,90,89,6,40,45,True,Moderate,Delayed
15,16,6.0,Female,Poor,81.47,60,19,60,60,1,66,False,High,Dropout_Risk
16,17,17.0,Male,Wealthy,72.96,66,17,62,48,25,85,True,Moderate,Dropout_Risk
17,18,3.0,Female,Poor,30.54,35,18,57,6,70,23,True,None,High_Achiever
18,19,15.0,Male,Lower_class,61.64,59,78,22,56,55,69,True,Moderate,High_Achiever
19,20,12.0,Male,Upper_middle_class,32.03,90,4,46,0,31,77,False,Moderate,On_Time
20,21,4.0,Female,Poor,34.55,50,72,35,85,17,55,True,Moderate,Delayed
21,22,10.0,Male,Poor,62.94,95,56,74,53,3,58,False,None,High_Achiever
22,23,9.0,Female,Upper_class,23.38,22,38,53,57,13,68,True,None,Dropout_Risk
23,24,7.0,Female,Lower_class,9.6,2,32,36,9,21,4,True,High,High_Achiever
24,25,7.0,Female,Wealthy,83.04,97,37,66,66,19,81,False,None,Dropout_Risk
25,26,3.0,Female,Upper_class,92.64,86,35,36,19,15,100,False,Moderate,Dropout_Risk
26,27,1.0,Male,Upper_middle_class,97.88,19,32,41,56,48,24,True,None,Dropout_Risk
27,28,4.0,Male,Wealthy,27.49,7,79,89,88,26,41,False,None,High_Achiever
28,29,6.0,Male,Lower_class,30.33,92,67,48,58,63,98,False,Moderate,Dropout_Risk
29,30,7.0,Female,Upper_middle_class,50.74,94,6,59,9,35,86,True,None,Delayed
30,31,8.0,Female,Upper_middle_class,70.49,19,93,2,17,25,60,False,High,Delayed
31,32,12.0,Female,Poor,4.34,79,78,15,51,69,43,False,High,On_Time
32,33,13.0,Male,Upper_middle_class,82.34,59,43,54,6,62,39,True,Moderate,High_Achiever
33,34,3.0,Male,Lower_class,7.04,67,9,12,36,54,28,False,Moderate,Dropout_Risk
34,35,17.0,Male,Poor,40.18,41,98,10,5,50,75,True,None,Delayed
35,36,4.0,Female,Lower_class,43.65,87,98,16,19,96,52,False,Moderate,Dropout_Risk
36,37,8.0,Female,Poor,5.22,29,98,52,18,81,50,True,High,On_Time
37,38,10.0,Female,Upper_class,93.24,36,29,68,48,50,8,False,None,Delayed
38,39,16.0,Male,Poor,7.77,70,24,98,68,93,62,False,Moderate,On_Time
39,40,11.0,Female,Poor,29.66,18,72,12,24,42,23,False,Moderate,High_Achiever
40,41,4.0,Male,Wealthy,1.7,90,58,67,80,74,9,False,Moderate,Dropout_Risk
41,42,8.0,Female,Upper_middle_class,79.92,50,78,66,65,19,70,True,High,Delayed
42,43,5.0,Male,Wealthy,19.48,95,92,27,7,72,61,True,Moderate,Delayed
43,44,4.0,Female,Wealthy,93.57,26,46,100,39,96,63,False,Moderate,Delayed
44,45,1.0,Male,Wealthy,51.26,37,65,54,16,24,60,True,Moderate,On_Time
45,46,8.0,Male,Wealthy,25.04,74,94,8,72,20,12,True,None,Dropout_Risk
46,47,7.0,Female,Wealthy,18.01,26,98,50,82,24,8,False,None,Dropout_Risk
47,48,14.0,Female,Wealthy,93.49,35,89,1,67,6,9,True,High,High_Achiever
48,49,16.0,Female,Poor,4.16,52,64,31,85,62,41,True,None,Delayed
49,50,15.0,Male,Upper_class,70.49,50,42,18,56,21,11,True,High,High_Achiever
